weeknr,week,lec,leclink,lab,lablink
0,Welcome Week,Course Intro,https://uoepsy.github.io/usmr/2324/lectures/lecture00.html,A short survey,https://edin.ac/3Eth1ML
1.01,Sem 1 Week 1,Introduction to R and Statistics,https://uoepsy.github.io/usmr/2324/lectures/lecture01.html,1A: A First Look at R & Rstudio,https://uoepsy.github.io/usmr/2324/labs/01a_R.html
,,,,1B: More R - Basic Data Skills,https://uoepsy.github.io/usmr/2324/labs/01b_data.html
,,,,Week 1 Exercises,https://uoepsy.github.io/usmr/2324/labs/01_ex.html
1.02,Sem 1 Week 2,Measurement & Distributions,https://uoepsy.github.io/usmr/2324/lectures/lecture02.html,2A: Measurement & Distributions,https://uoepsy.github.io/usmr/2324/labs/02a_measurement.html
,,,,2B: Curves & Sampling,https://uoepsy.github.io/usmr/2324/labs/02b_sampling.html
,,,,Week 2 Exercises,https://uoepsy.github.io/usmr/2324/labs/02_ex.html
1.03,Sem 1 Week 3,Testing Statistical Hypotheses,https://uoepsy.github.io/usmr/2324/lectures/lecture03.html,3A: Foundations of Inference,https://uoepsy.github.io/usmr/2324/labs/03a_inference.html
,,,,3B: Practical Inference,https://uoepsy.github.io/usmr/2324/labs/03b_inference2.html
,,,,Week 3 Exercises: T tests,https://uoepsy.github.io/usmr/2324/labs/03_ex.html
1.04,Sem 1 Week 4,Nominal Data,https://uoepsy.github.io/usmr/2324/lectures/lecture04.html,4A: Chi-Square Tests,https://uoepsy.github.io/usmr/2324/labs/04a_chisq.html
,,,,4B: Revisiting NHST,https://uoepsy.github.io/usmr/2324/labs/04b_revisitnhst.html
,,,,Week 4 Exercises: Chi-Square Tests,https://uoepsy.github.io/usmr/2324/labs/04_ex.html
1.05,Sem 1 Week 5,Correlation/Correlation++,https://uoepsy.github.io/usmr/2324/lectures/lecture05.html,5A: Covariance & Correlation,https://uoepsy.github.io/usmr/2324/labs/05a_covcor.html
,,,,5B: Simple Linear Regression,https://uoepsy.github.io/usmr/2324/labs/05b_slr.html
,,,,Week 5 Exercises: Cov/Cor/The Linear Model,https://uoepsy.github.io/usmr/2324/labs/05_ex.html
1.06,Sem 1 Week 6,No Lecture,,Week 6 WalkThrough: Advanced Data Wrangling,https://uoepsy.github.io/usmr/2324/labs/06_wt.html
1.07,Sem 1 Week 7,The Linear Model,https://uoepsy.github.io/usmr/2324/lectures/lecture06.html,7A: Multiple Linear Regression,https://uoepsy.github.io/usmr/2324/labs/07a_mlr.html
,,Multiple Regression,https://uoepsy.github.io/usmr/2324/lectures/lecture06b.html,"7B: Assumptions, Diagnostics & Troubleshooting",https://uoepsy.github.io/usmr/2324/labs/07b_assumptdiag.html
,,,,Week 7 Exercises: Multiple Regression,https://uoepsy.github.io/usmr/2324/labs/07_ex.html
1.08,Sem 1 Week 8,Scaling and Contrasts,https://uoepsy.github.io/usmr/2324/lectures/lecture07.html#/title-slide,8A: Centering and Scaling,https://uoepsy.github.io/usmr/2324/labs/08a_scaling.html
,,,,8B: Categorical Predictors,https://uoepsy.github.io/usmr/2324/labs/08b_catpred.html
,,,,Week 8 Exercises: Scaling and Categorical Predictors,https://uoepsy.github.io/usmr/2324/labs/08_ex.html
1.09,Sem 1 Week 9,Interactions,https://uoepsy.github.io/usmr/2324/lectures/lecture08.html#/title-slide,Interactions,https://uoepsy.github.io/usmr/2324/labs/09a_interactions.html
,,,,Week 9 Exercises: Interactions,https://uoepsy.github.io/usmr/2324/labs/09_ex.html
1.1,Sem 1 Week 10,,,,
1.11,Sem 1 Week 11,,,,
