weeknr,week,lec,leclink,lab,lablink
0,Welcome Week,Course Intro,https://uoepsy.github.io/usmr/2425/lectures/lecture00.html,A short survey,https://edin.ac/3Eth1ML
1.01,Sem 1 Week 1,Introduction to R and Statistics,https://uoepsy.github.io/usmr/2425/lectures/lecture01.html,1A: A First Look at R & Rstudio,https://uoepsy.github.io/usmr/2425/labs/01a_R.html
,,,,1B: More R - Basic Data Skills,https://uoepsy.github.io/usmr/2425/labs/01b_data.html
,,,,Week 1 Exercises,https://uoepsy.github.io/usmr/2425/labs/01_ex.html
1.02,Sem 1 Week 2,Measurement & Distributions,https://uoepsy.github.io/usmr/2425/lectures/lecture02.html,2A: Measurement & Distributions,https://uoepsy.github.io/usmr/2425/labs/02a_measurement.html
,,,,2B: Curves & Sampling,https://uoepsy.github.io/usmr/2425/labs/02b_sampling.html
,,,,Week 2 Exercises,https://uoepsy.github.io/usmr/2425/labs/02_ex.html
1.03,Sem 1 Week 3,Testing Statistical Hypotheses,,,
1.04,Sem 1 Week 4,Nominal Data,,,
1.05,Sem 1 Week 5,Correlation/Correlation++,,,
1.06,Sem 1 Week 6,No Lecture,,,
1.07,Sem 1 Week 7,The Linear Model,,,
1.08,Sem 1 Week 8,Scaling and Contrasts,,,
1.09,Sem 1 Week 9,Interactions,,,
1.1,Sem 1 Week 10,The Generalized Linear Model,,,
1.11,Sem 1 Week 11,Some Kind of End to the Course,,,
