weeknr,week,lec,leclink,lab,lablink
0,Welcome Week,No Lecture,,A short survey,https://forms.gle/DBtTsVya2cZBxeRp6
1.01,Week 1,Welcome,https://uoepsy.github.io/usmr/2223/lectures/lecture_0.html,1A: A first look at R & RStudio,https://uoepsy.github.io/usmr/2223/labs/01a_R.html
,,Introductions and throwing dice,https://uoepsy.github.io/usmr/2223/lectures/lecture_1.html,1B: More R - Basic Data Skills,https://uoepsy.github.io/usmr/2223/labs/01b_data.html
,,,,Exercises: Intro R,https://uoepsy.github.io/usmr/2223/labs/01_ex.html
1.02,Week 2,Measurement and Distributions ,https://uoepsy.github.io/usmr/2223/lectures/lecture_2.html,2A: Measurement & Distributions,https://uoepsy.github.io/usmr/2223/labs/02a_measurement.html
,,,,2B: Curves & Sampling,https://uoepsy.github.io/usmr/2223/labs/02b_sampling.html
,,,,Exercises: More R; Estimates & Intervals,https://uoepsy.github.io/usmr/2223/labs/02_ex.html
1.03,Week 3,Testing Statistical Hypotheses ,https://uoepsy.github.io/usmr/2223/lectures/lecture_3.html,3A: Foundations of Inference,https://uoepsy.github.io/usmr/2223/labs/03a_inference.html
,,,,3B: Practical Inference,https://uoepsy.github.io/usmr/2223/labs/03b_inference2.html
,,,,Exercises: T-tests,https://uoepsy.github.io/usmr/2223/labs/03_ex.html
1.04,Week 4,More Tests ,https://uoepsy.github.io/usmr/2223/lectures/lecture_4.html,4A: Chi-Square Tests,https://uoepsy.github.io/usmr/2223/labs/04a_chisq.html
,,,,4B: Revisiting NHST,https://uoepsy.github.io/usmr/2223/labs/04b_revisitnhst.html
,,,,Exercises: Chi-Square Tests,https://uoepsy.github.io/usmr/2223/labs/04_ex.html
1.05,Week 5,Correlations ,https://uoepsy.github.io/usmr/2223/lectures/lecture_5.html,5A: Covariance & Correlation,https://uoepsy.github.io/usmr/2223/labs/05a_covcor.html
,,,,Exercises: Cov & Cor; Models,https://uoepsy.github.io/usmr/2223/labs/05_ex.html
1.06,Week 6,No Lecture,,Walkthrough: Advanced Data Wrangling,https://uoepsy.github.io/usmr/2223/labs/06_wt.html
1.07,Week 7,Recap ,https://uoepsy.github.io/usmr/2223/lectures/lecture_7A.html,7A: Simple Linear Regression,https://uoepsy.github.io/usmr/2223/labs/07a_slr.html
,,The Linear Model ,https://uoepsy.github.io/usmr/2223/lectures/lecture_7.html,Exercises: Simple Linear Regression,https://uoepsy.github.io/usmr/2223/labs/07_ex.html
1.08,Week 8,The Linear Model (ctd) ,https://uoepsy.github.io/usmr/2223/lectures/lecture_8.html,Multiple Linear Regression,https://uoepsy.github.io/usmr/2223/labs/08a_mlr.html
,,,,"Assumptions, Diagnostics & Troubleshooting",https://uoepsy.github.io/usmr/2223/labs/08b_assumptdiag.html
,,,,Exercises: Multiple Linear Regression,https://uoepsy.github.io/usmr/2223/labs/08_ex.html
1.09,Week 9,"Scaling, Contrasts, Interactions ",https://uoepsy.github.io/usmr/2223/lectures/lecture_9.html,09A: Interactions,https://uoepsy.github.io/usmr/2223/labs/09a_interactions.html
,,,,09B: Categorical Predictors,https://uoepsy.github.io/usmr/2223/labs/09b_contrasts.html
,,,,Exercises: Interactions & Categorical Predictors,https://uoepsy.github.io/usmr/2223/labs/09_ex.html
1.1,Week 10,The Generalized Linear Model ,https://uoepsy.github.io/usmr/2223/lectures/lecture_10.html,10A: GLM!,https://uoepsy.github.io/usmr/2223/labs/10a_glm.html
,,,,Exercises: Logistic Regression,https://uoepsy.github.io/usmr/2223/labs/10_ex.html
1.11,Week 11,Some Kind of End to the Course ,https://uoepsy.github.io/usmr/2223/lectures/lecture_11.html,Exercises: Tying up loose ends,https://uoepsy.github.io/usmr/2223/labs/11_ex.html
